179.255.148.158,443
179.255.100.56,443
179.255.144.153,443
154.17.5.80,443
179.253.236.144,443
154.17.9.213,443
179.253.240.176,443
179.255.96.74,443
179.255.124.68,443
179.253.240.67,443
179.253.236.91,443
179.253.240.60,443
179.253.228.161,443
179.253.228.186,8443
179.253.228.189,443
179.255.116.193,443
179.255.108.137,443
154.17.9.119,12192
179.255.100.185,443
179.255.148.113,443
179.255.148.11,443
154.17.18.11,443
154.17.9.119,23397
179.253.240.26,443
179.253.236.110,443
179.253.236.130,443
179.253.224.122,443
179.253.228.158,443
179.253.232.135,25565
179.255.116.131,443
179.255.124.10,443
179.255.108.125,443
154.17.15.91,443
154.17.11.210,45192
154.17.5.140,44468
154.17.9.119,16378
179.253.228.150,443
179.253.232.80,443
179.255.100.98,8443
179.253.248.23,443
179.255.152.239,443
179.255.156.143,443
179.255.148.79,443
179.253.224.61,443
179.253.236.145,443
179.253.224.154,443
179.253.224.153,443
179.253.228.125,8443
179.255.104.49,443
179.253.248.152,443
179.255.96.105,443
179.255.124.146,443
179.255.116.134,443
179.255.108.180,443
179.255.156.113,443
154.17.18.102,33089
154.17.15.252,443
154.17.5.140,37813
154.17.0.118,443
179.253.232.22,443
179.253.248.133,443
179.255.100.195,8443
179.255.100.156,443
179.255.124.118,443
179.255.116.105,443
179.255.124.231,443
179.255.120.91,443
179.255.108.205,8443
179.255.108.200,443
179.255.152.227,443
179.255.148.212,443
179.255.144.3,443
154.17.1.106,23125
179.253.236.92,443
179.253.224.83,2053
179.253.240.50,443
179.253.224.211,8443
179.255.108.2,2053
179.255.124.43,443
179.255.124.61,443
179.255.108.167,443
179.255.117.3,443
179.255.152.133,443
179.255.144.209,443
154.17.6.188,20432
154.17.0.146,443
154.17.17.118,443
179.253.236.186,443
179.253.224.132,443
179.253.228.118,443
179.253.244.232,443
179.255.100.10,443
179.255.100.116,443
179.255.124.183,443
179.255.112.117,443
179.255.116.76,443
179.255.152.201,443
179.255.156.172,8443
179.255.148.157,8443
179.255.144.136,443
179.255.144.187,443
154.17.8.165,443
154.17.16.219,8443
154.17.0.106,443
179.253.224.195,443
179.253.236.1,443
179.253.236.3,443
179.253.232.106,443
179.253.232.122,8443
179.253.244.104,8443
179.255.120.65,443
179.255.152.223,443
179.255.156.190,443
154.17.19.167,23342
154.17.6.236,443
179.253.236.70,443
179.253.224.180,2454
179.253.228.114,8443
179.253.244.60,443
179.255.104.207,443
179.255.104.166,8443
179.255.104.87,443
179.255.124.124,443
179.255.124.184,8443
179.255.112.157,443
179.255.152.163,443
179.255.144.72,2443
154.17.16.54,443
179.253.236.117,2087
179.253.232.17,8443
179.253.244.62,54321
179.255.100.38,443
179.255.100.204,443
179.255.116.198,443
179.255.112.151,443
179.255.124.85,8443
179.255.156.72,443
154.17.2.83,51232
154.17.0.137,443
179.253.240.219,8443
179.253.236.67,443
179.253.224.132,10443
179.253.236.3,8443
179.253.244.201,443
179.253.245.1,8443
179.253.248.15,443
179.253.248.14,443
179.255.116.102,443
179.255.112.146,443
179.255.120.39,443
179.255.108.204,4433
179.255.108.63,443
179.255.148.177,443
179.255.148.15,8443
154.17.13.182,443
179.253.224.132,12443
179.255.120.44,443
179.255.148.204,443
179.255.144.72,443
154.17.1.195,443
154.17.1.168,443
179.253.240.164,443
179.253.224.211,12443
179.255.96.101,443
179.253.248.32,443
179.255.108.4,443
179.255.124.28,443
179.255.120.33,8443
179.255.124.8,443
179.255.108.250,443
179.255.108.14,443
179.255.156.240,443
179.255.152.155,8443
179.255.148.193,443
179.253.236.60,443
179.253.236.148,2053
179.255.104.35,443
179.255.96.130,443
179.255.96.23,8443
179.255.108.2,8443
179.255.112.124,443
179.255.124.207,8443
179.255.116.2,443
179.255.108.22,443
179.255.156.3,443
179.255.156.45,443
179.255.148.208,443
179.255.148.163,443
179.255.148.83,443
179.255.144.242,443
179.255.144.233,443
154.17.8.244,443
154.17.9.119,25483
